_id,School Name,Enrolled population,DTP coverage rate (%),DTP Religious exemption rate (%),MMR coverage rate (%),MMR Religious exemption rate (%),Lat,Lng
781,White Haven Jr P.S.,350,94.9,1.1,96.0,1.1,43.78699541,-79.24805090000001
782,Whitney Jr P.S.,161,95.7,2.5,95.7,2.5,43.68716034,-79.37839727
783,Wilkinson Jr P.S.,316,97.8,1.6,96.8,1.6,43.68204163,-79.33748324
784,William Burgess Elementary,202,91.1,3.0,91.1,3.0,43.69192773,-79.34815772
785,William G Davis Jr P.S.,170,98.8,0.0,95.9,0.0,43.78504643,-79.13447437
786,William G Miller Jr P.S.,373,93.8,3.5,96.0,3.5,43.76851356,-79.16503401
787,William J McCordic School,52,46.2,3.8,84.6,3.8,43.69063184,-79.29898334
788,William Lyon Mackenzie C.I.,1377,84.9,2.5,94.6,2.5,43.75347096,-79.46189416
789,Williamson Road Jr P.S.,356,97.2,2.0,96.9,2.0,43.67451106,-79.2974698
790,Willow Park Jr P.S.,216,97.2,0.0,99.1,0.0,43.7611981,-79.20957854
791,Willowdale Middle School,542,92.6,2.2,94.6,2.2,43.76977522,-79.42608898
792,Wilmington Elementary,101,92.1,0.0,90.1,0.0,43.768501799999996,-79.46071631
793,Winchester Jr & Sr P.S.,343,91.3,3.2,93.3,3.2,43.6665481,-79.37110718
794,Windfields Middle School,661,91.8,2.9,95.2,2.7,43.75622535,-79.37098613
795,Winona Drive Senior P.S.,414,87.4,5.1,94.2,5.1,43.67807637,-79.43106195
796,Winston Churchill C.I.,517,87.0,1.5,96.5,1.5,43.74789747,-79.27814694
797,Withrow Avenue Jr P.S.,366,96.2,2.5,95.6,2.5,43.67046046,-79.35212966
798,Woburn C.I.,877,88.6,0.2,98.5,0.2,43.77816511,-79.22845859
799,Woburn Jr P.S.,225,98.7,0.0,98.7,0.0,43.779502799999996,-79.22700166
800,Woodbine Jr H.S.,347,89.6,1.4,90.2,1.4,43.7842923,-79.35049619
801,York Humber H.S.,122,86.9,4.1,93.4,4.1,43.6885692,-79.50617746
802,York Memorial C.I.,876,86.8,2.5,96.3,2.5,43.69027872,-79.47623979999999
803,York Mills C.I.,1200,86.3,1.3,97.2,1.3,43.75152905,-79.37352390000001
804,Yorkview P.S.,256,93.8,2.3,93.0,2.3,43.77257361,-79.43556642
805,Yorkwoods P.S.,224,88.4,0.9,91.5,0.9,43.75065984,-79.51388475
806,Zion Heights Jr H.S.,592,94.4,1.0,96.5,1.0,43.797914899999995,-79.37109724
